"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","2_18a_D1_PROKKA_07032020","2_18b_A4_PROKKA_07032020","2_18b_D1_PROKKA_07032020","2_18b_D3_PROKKA_07032020","3_18a_D6_PROKKA_07032020","3_18b_C5_PROKKA_07132020","3_18b_D5_PROKKA_07132020","3_18c_C3_PROKKA_07142020","O_acuminata_ref_PROKKA_04122021"
"group_7856","","hypothetical protein","1","1","1","1","447","85","2","","545","545","545","","KBJLFPIH_01345","","","","","","",""
"group_7857","","hypothetical protein","1","1","1","1","448","85","1","","1889","1889","1889","","KBJLFPIH_01346","","","","","","",""
"group_7858","","hypothetical protein","1","1","1","1","19226","1042","3","","593","593","593","","KBJLFPIH_01348","","","","","","",""
"group_7859","","hypothetical protein","1","1","1","1","19227","1042","2","","284","284","284","","KBJLFPIH_01349","","","","","","",""
"group_7860","","hypothetical protein","1","1","1","1","19228","1042","1","","1457","1457","1457","","KBJLFPIH_01350","","","","","","",""
"group_7861","","hypothetical protein","1","1","1","1","19230","116","4","","914","914","914","","KBJLFPIH_01352","","","","","","",""
"group_7862","","hypothetical protein","1","1","1","1","438","116","3","","1082","1082","1082","","KBJLFPIH_01354","","","","","","",""
"group_7863","","hypothetical protein","1","1","1","1","437","116","14","","1028","1028","1028","","KBJLFPIH_01355","","","","","","",""
"group_7864","","hypothetical protein","1","1","1","1","19248","116","1","","656","656","656","","KBJLFPIH_01357","","","","","","",""
"group_7865","","hypothetical protein","1","1","1","1","19249","","","","1091","1091","1091","","KBJLFPIH_01359","","","","","","",""
"group_7866","","hypothetical protein","1","1","1","1","18509","1350","1","","2039","2039","2039","","KBJLFPIH_01361","","","","","","",""
"group_7867","","hypothetical protein","1","1","1","1","18356","145","6","","1094","1094","1094","","KBJLFPIH_01367","","","","","","",""
"group_7868","arnT_1","Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase","1","1","1","1","18359","145","5","","1886","1886","1886","","KBJLFPIH_01369","","","","","","",""
"group_7869","","hypothetical protein","1","1","1","1","18358","145","4","","98","98","98","","KBJLFPIH_01370","","","","","","",""
"group_7870","rcsC_32","Sensor histidine kinase RcsC","1","1","1","1","18357","145","7","","3335","3335","3335","","KBJLFPIH_01371","","","","","","",""
"group_7871","","hypothetical protein","1","1","1","1","20768","17","50","","1130","1130","1130","","KBJLFPIH_01376","","","","","","",""
"group_7872","","hypothetical protein","1","1","1","1","20769","17","51","","512","512","512","","KBJLFPIH_01377","","","","","","",""
"group_7873","","hypothetical protein","1","1","1","1","20770","17","52","","644","644","644","","KBJLFPIH_01378","","","","","","",""
"group_7874","","hypothetical protein","1","1","1","1","20771","17","53","","1415","1415","1415","","KBJLFPIH_01379","","","","","","",""
"group_7875","dpnA","Modification methylase DpnIIB","1","1","1","1","20772","17","54","","191","191","191","","KBJLFPIH_01380","","","","","","",""
"group_7876","","hypothetical protein","1","1","1","1","20776","17","39","","218","218","218","","KBJLFPIH_01382","","","","","","",""
"group_7877","","hypothetical protein","1","1","1","1","20777","17","38","","308","308","308","","KBJLFPIH_01383","","","","","","",""
"group_7878","sasA_13","Adaptive-response sensory-kinase SasA","1","1","1","1","20778","17","37","","4640","4640","4640","","KBJLFPIH_01384","","","","","","",""
"group_7879","","hypothetical protein","1","1","1","1","20779","17","36","","1922","1922","1922","","KBJLFPIH_01385","","","","","","",""
"group_7880","mshA_7","D-inositol-3-phosphate glycosyltransferase","1","1","1","1","20784","17","24","","1130","1130","1130","","KBJLFPIH_01387","","","","","","",""
"group_7881","","putative protein","1","1","1","1","20783","17","23","","1268","1268","1268","","KBJLFPIH_01388","","","","","","",""
"group_7882","rmlD_2","dTDP-4-dehydrorhamnose reductase","1","1","1","1","20782","17","22","","875","875","875","","KBJLFPIH_01389","","","","","","",""
"group_7883","","Rubredoxin","1","1","1","1","20781","17","21","","164","164","164","","KBJLFPIH_01390","","","","","","",""
"group_7884","","hypothetical protein","1","1","1","1","20780","17","20","","161","161","161","","KBJLFPIH_01391","","","","","","",""
"group_7885","","hypothetical protein","1","1","1","1","20668","17","26","","479","479","479","","KBJLFPIH_01393","","","","","","",""
"group_7886","","hypothetical protein","1","1","1","1","20664","251","9","","269","269","269","","KBJLFPIH_01396","","","","","","",""
"group_7887","","hypothetical protein","1","1","1","1","20663","251","10","","287","287","287","","KBJLFPIH_01397","","","","","","",""
"group_7888","ybgC","Acyl-CoA thioester hydrolase YbgC","1","1","1","1","20642","243","7","","488","488","488","","KBJLFPIH_01401","","","","","","",""
"group_7889","truB","tRNA pseudouridine synthase B","1","1","1","1","20","119","4","","926","926","926","","KBJLFPIH_01403","","","","","","",""
"group_7890","mdtC","Multidrug resistance protein MdtC","1","1","1","1","21","119","5","","3221","3221","3221","","KBJLFPIH_01404","","","","","","",""
"group_7891","","hypothetical protein","1","1","1","1","7","119","9","","851","851","851","","KBJLFPIH_01406","","","","","","",""
"group_7892","","hypothetical protein","1","1","1","1","20636","119","11","","1493","1493","1493","","KBJLFPIH_01408","","","","","","",""
"group_7893","","hypothetical protein","1","1","1","1","24","1263","1","","521","521","521","","KBJLFPIH_01411","","","","","","",""
"group_7894","wcaJ","UDP-glucose:undecaprenyl-phosphate glucose-1-phosphate transferase","1","1","1","1","33","936","1","","719","719","719","","KBJLFPIH_01413","","","","","","",""
"group_7895","","hypothetical protein","1","1","1","1","32","936","2","","1985","1985","1985","","KBJLFPIH_01414","","","","","","",""
"group_7896","","hypothetical protein","1","1","1","1","31","936","3","","569","569","569","","KBJLFPIH_01415","","","","","","",""
"group_7897","","hypothetical protein","1","1","1","1","30","936","7","","614","614","614","","KBJLFPIH_01416","","","","","","",""
"group_7898","","hypothetical protein","1","1","1","1","29","936","6","","1196","1196","1196","","KBJLFPIH_01417","","","","","","",""
"group_7899","","hypothetical protein","1","1","1","1","28","936","5","","3023","3023","3023","","KBJLFPIH_01418","","","","","","",""
"group_7900","","hypothetical protein","1","1","1","1","27","936","4","","155","155","155","","KBJLFPIH_01419","","","","","","",""
"group_7901","","hypothetical protein","1","1","1","1","56","941","7","","797","797","797","","KBJLFPIH_01421","","","","","","",""
"group_7902","","hypothetical protein","1","1","1","1","55","941","6","","1139","1139","1139","","KBJLFPIH_01422","","","","","","",""
"group_7903","","hypothetical protein","1","1","1","1","54","941","5","","407","407","407","","KBJLFPIH_01423","","","","","","",""
"group_7904","","hypothetical protein","1","1","1","1","53","941","4","","116","116","116","","KBJLFPIH_01424","","","","","","",""
"group_7905","","hypothetical protein","1","1","1","1","52","941","3","","1214","1214","1214","","KBJLFPIH_01425","","","","","","",""
"group_7906","","hypothetical protein","1","1","1","1","51","941","2","","650","650","650","","KBJLFPIH_01426","","","","","","",""
"group_7907","","hypothetical protein","1","1","1","1","50","941","1","","1103","1103","1103","","KBJLFPIH_01427","","","","","","",""
"group_7908","ribE","Riboflavin synthase","1","1","1","1","20611","910","11","","719","719","719","","KBJLFPIH_01429","","","","","","",""
"group_7909","","hypothetical protein","1","1","1","1","20610","910","10","","1676","1676","1676","","KBJLFPIH_01430","","","","","","",""
"group_7910","birA","Bifunctional ligase/repressor BirA","1","1","1","1","20609","910","9","","893","893","893","","KBJLFPIH_01431","","","","","","",""
"group_7911","","Polyphenol oxidase","1","1","1","1","20608","910","8","","788","788","788","","KBJLFPIH_01432","","","","","","",""
"group_7912","","hypothetical protein","1","1","1","1","20607","910","7","","257","257","257","","KBJLFPIH_01433","","","","","","",""
"group_7913","","hypothetical protein","1","1","1","1","20606","910","6","","902","902","902","","KBJLFPIH_01434","","","","","","",""
"group_7914","","hypothetical protein","1","1","1","1","20605","910","5","","332","332","332","","KBJLFPIH_01435","","","","","","",""
"group_7915","","hypothetical protein","1","1","1","1","20604","910","4","","1394","1394","1394","","KBJLFPIH_01436","","","","","","",""
"group_7916","recF_1","DNA replication and repair protein RecF","1","1","1","1","20603","910","3","","1337","1337","1337","","KBJLFPIH_01437","","","","","","",""
"group_7917","","hypothetical protein","1","1","1","1","73","910","2","","680","680","680","","KBJLFPIH_01438","","","","","","",""
"group_7918","","hypothetical protein","1","1","1","1","74","910","1","","755","755","755","","KBJLFPIH_01439","","","","","","",""
"group_7919","","hypothetical protein","1","1","1","1","186","932","7","","851","851","851","","KBJLFPIH_01442","","","","","","",""
"group_7920","","hypothetical protein","1","1","1","1","187","932","8","","1193","1193","1193","","KBJLFPIH_01443","","","","","","",""
"group_7921","","hypothetical protein","1","1","1","1","188","932","6","","296","296","296","","KBJLFPIH_01444","","","","","","",""
"group_7922","","hypothetical protein","1","1","1","1","189","932","5","","584","584","584","","KBJLFPIH_01445","","","","","","",""
"group_7923","","hypothetical protein","1","1","1","1","190","932","4","","1514","1514","1514","","KBJLFPIH_01446","","","","","","",""
"group_7924","","hypothetical protein","1","1","1","1","191","932","3","","1028","1028","1028","","KBJLFPIH_01447","","","","","","",""
"group_7925","mshA_8","D-inositol-3-phosphate glycosyltransferase","1","1","1","1","192","932","2","","1142","1142","1142","","KBJLFPIH_01448","","","","","","",""
"group_7926","","hypothetical protein","1","1","1","1","193","932","1","","137","137","137","","KBJLFPIH_01449","","","","","","",""
"group_7927","gmd_2","GDP-mannose 4,6-dehydratase","1","1","1","1","315","1231","1","","2060","2060","2060","","KBJLFPIH_01451","","","","","","",""
"group_7928","yqgN","putative protein YqgN","1","1","1","1","322","973","1","","587","587","587","","KBJLFPIH_01453","","","","","","",""
"group_7929","","hypothetical protein","1","1","1","1","323","973","2","","2540","2540","2540","","KBJLFPIH_01454","","","","","","",""
"group_7930","","hypothetical protein","1","1","1","1","324","973","3","","1988","1988","1988","","KBJLFPIH_01455","","","","","","",""
"group_7931","","hypothetical protein","1","1","1","1","325","973","4","","3518","3518","3518","","KBJLFPIH_01456","","","","","","",""
"group_7932","","hypothetical protein","1","1","1","1","326","973","5","","635","635","635","","KBJLFPIH_01457","","","","","","",""
"group_7933","","hypothetical protein","1","1","1","1","171","70","2","","2540","2540","2540","","KBJLFPIH_01459","","","","","","",""
"group_7934","","hypothetical protein","1","1","1","1","172","70","3","","902","902","902","","KBJLFPIH_01460","","","","","","",""
"group_7935","","hypothetical protein","1","1","1","1","173","70","4","","731","731","731","","KBJLFPIH_01461","","","","","","",""
"group_7936","","hypothetical protein","1","1","1","1","174","70","5","","815","815","815","","KBJLFPIH_01462","","","","","","",""
"group_7937","","hypothetical protein","1","1","1","1","333","70","17","","2525","2525","2525","","KBJLFPIH_01464","","","","","","",""
"group_7938","","hypothetical protein","1","1","1","1","334","70","18","","812","812","812","","KBJLFPIH_01466","","","","","","",""
"group_7939","","hypothetical protein","1","1","1","1","19434","1128","1","","2159","2159","2159","","KBJLFPIH_01468","","","","","","",""
"group_7940","","hypothetical protein","1","1","1","1","19435","1128","2","","299","299","299","","KBJLFPIH_01469","","","","","","",""
"group_7941","","hypothetical protein","1","1","1","1","19432","18","8","","1073","1073","1073","","KBJLFPIH_01472","","","","","","",""
"group_7942","","hypothetical protein","1","1","1","1","19431","18","9","","1451","1451","1451","","KBJLFPIH_01473","","","","","","",""
"group_7943","","hypothetical protein","1","1","1","1","19430","18","10","","1922","1922","1922","","KBJLFPIH_01474","","","","","","",""
"group_7944","","hypothetical protein","1","1","1","1","19429","18","11","","2234","2234","2234","","KBJLFPIH_01475","","","","","","",""
"group_7945","","hypothetical protein","1","1","1","1","19428","18","12","","2684","2684","2684","","KBJLFPIH_01476","","","","","","",""
"group_7946","","hypothetical protein","1","1","1","1","19427","18","13","","1538","1538","1538","","KBJLFPIH_01477","","","","","","",""
"group_7947","ycf3_5","Photosystem I assembly protein Ycf3","1","1","1","1","19426","18","14","","1697","1697","1697","","KBJLFPIH_01478","","","","","","",""
"group_7948","","hypothetical protein","1","1","1","1","19408","18","36","","350","350","350","","KBJLFPIH_01480","","","","","","",""
"group_7950","","hypothetical protein","1","1","1","1","19418","18","33","","878","878","878","","KBJLFPIH_01484","","","","","","",""
"acpS","","Holo-[acyl-carrier-protein] synthase","1","1","1","1","19417","18","32","","404","404","404","","KBJLFPIH_01485","","","","","","",""
"group_7952","","hypothetical protein","1","1","1","1","19416","18","31","","479","479","479","","KBJLFPIH_01486","","","","","","",""
"group_7953","","hypothetical protein","1","1","1","1","19415","18","30","","272","272","272","","KBJLFPIH_01487","","","","","","",""
"group_7954","","hypothetical protein","1","1","1","1","19414","18","29","","980","980","980","","KBJLFPIH_01488","","","","","","",""
"group_7955","","hypothetical protein","1","1","1","1","370","18","28","","1493","1493","1493","","KBJLFPIH_01489","","","","","","",""
"group_7956","","hypothetical protein","1","1","1","1","371","18","27","","416","416","416","","KBJLFPIH_01490","","","","","","",""
"group_7957","","hypothetical protein","1","1","1","1","372","18","26","","518","518","518","","KBJLFPIH_01491","","","","","","",""
"group_7958","","hypothetical protein","1","1","1","1","373","18","25","","2798","2798","2798","","KBJLFPIH_01492","","","","","","",""
"group_7959","","hypothetical protein","1","1","1","1","374","18","24","","2450","2450","2450","","KBJLFPIH_01493","","","","","","",""
"group_7960","","hypothetical protein","1","1","1","1","384","1274","1","","254","254","254","","KBJLFPIH_01495","","","","","","",""
"group_7961","","hypothetical protein","1","1","1","1","386","1082","1","","1076","1076","1076","","KBJLFPIH_01497","","","","","","",""
"group_7962","","hypothetical protein","1","1","1","1","387","1082","2","","1076","1076","1076","","KBJLFPIH_01498","","","","","","",""
"group_7963","","hypothetical protein","1","1","1","1","388","1082","3","","1073","1073","1073","","KBJLFPIH_01499","","","","","","",""
"group_7964","sasA_14","Adaptive-response sensory-kinase SasA","1","1","1","1","19387","1147","1","","1331","1331","1331","","KBJLFPIH_01501","","","","","","",""
"group_7965","","hypothetical protein","1","1","1","1","19386","1147","2","","506","506","506","","KBJLFPIH_01502","","","","","","",""
"group_7966","","hypothetical protein","1","1","1","1","392","1329","1","","491","491","491","","KBJLFPIH_01506","","","","","","",""
"group_7967","","hypothetical protein","1","1","1","1","394","1071","3","","365","365","365","","KBJLFPIH_01508","","","","","","",""
"group_7968","","hypothetical protein","1","1","1","1","395","1071","2","","749","749","749","","KBJLFPIH_01509","","","","","","",""
"group_7969","","hypothetical protein","1","1","1","1","396","1071","1","","2246","2246","2246","","KBJLFPIH_01510","","","","","","",""
"group_7970","","hypothetical protein","1","1","1","1","19368","1213","2","","1460","1460","1460","","KBJLFPIH_01512","","","","","","",""
"group_7971","","hypothetical protein","1","1","1","1","19367","1213","1","","269","269","269","","KBJLFPIH_01513","","","","","","",""
"group_7972","","hypothetical protein","1","1","1","1","19355","1393","1","","392","392","392","","KBJLFPIH_01515","","","","","","",""
"group_7973","","hypothetical protein","1","1","1","1","19351","1278","1","","626","626","626","","KBJLFPIH_01517","","","","","","",""
"group_7974","","hypothetical protein","1","1","1","1","19346","1013","1","","1205","1205","1205","","KBJLFPIH_01523","","","","","","",""
"group_7975","prcA","Calcium-dependent protease","1","1","1","1","19345","1013","4","","2165","2165","2165","","KBJLFPIH_01524","","","","","","",""
"group_7976","","hypothetical protein","1","1","1","1","19344","1013","3","","1199","1199","1199","","KBJLFPIH_01525","","","","","","",""
"group_7977","","hypothetical protein","1","1","1","1","19337","1013","2","","698","698","698","","KBJLFPIH_01526","","","","","","",""
"group_7978","","hypothetical protein","1","1","1","1","403","1153","1","","524","524","524","","KBJLFPIH_01530","","","","","","",""
"group_7979","","hypothetical protein","1","1","1","1","402","1153","2","","2600","2600","2600","","KBJLFPIH_01531","","","","","","",""
"group_7980","","hypothetical protein","1","1","1","1","414","304","4","","128","128","128","","KBJLFPIH_01533","","","","","","",""
"group_7981","cbiA","Cobyrinate a,c-diamide synthase","1","1","1","1","413","304","5","","1436","1436","1436","","KBJLFPIH_01534","","","","","","",""
"group_7982","","hypothetical protein","1","1","1","1","6700","1269","1","","395","395","395","","KBJLFPIH_01544","","","","","","",""
"group_7983","","hypothetical protein","1","1","1","1","6717","382","8","","548","548","548","","KBJLFPIH_01547","","","","","","",""
"group_7984","rcsC_34","Sensor histidine kinase RcsC","1","1","1","1","6718","382","7","","2687","2687","2687","","KBJLFPIH_01548","","","","","","",""
"group_7985","","hypothetical protein","1","1","1","1","6711","1198","2","","1049","1049","1049","","KBJLFPIH_01550","","","","","","",""
"group_7986","","hypothetical protein","1","1","1","1","6710","1198","1","","1250","1250","1250","","KBJLFPIH_01551","","","","","","",""
"group_7987","","hypothetical protein","1","1","1","1","3801","1246","1","","338","338","338","","KBJLFPIH_01554","","","","","","",""
"group_7988","copA","Copper-exporting P-type ATPase","1","1","1","1","1066","34","16","","2369","2369","2369","","KBJLFPIH_01557","","","","","","",""
"group_7989","","hypothetical protein","1","1","1","1","1065","34","17","","1325","1325","1325","","KBJLFPIH_01558","","","","","","",""
"group_7990","","hypothetical protein","1","1","1","1","1064","34","18","","761","761","761","","KBJLFPIH_01559","","","","","","",""
"group_7991","rcsC_35","Sensor histidine kinase RcsC","1","1","1","1","6755","34","19","","2471","2471","2471","","KBJLFPIH_01560","","","","","","",""
"group_7992","pkwA_1","putative serine/threonine-protein kinase PkwA","1","1","1","1","6756","34","20","","917","917","917","","KBJLFPIH_01561","","","","","","",""
"group_7993","","hypothetical protein","1","1","1","1","6757","34","21","","434","434","434","","KBJLFPIH_01562","","","","","","",""
"group_7995","","hypothetical protein","1","1","1","1","6760","34","12","","197","197","197","","KBJLFPIH_01566","","","","","","",""
"group_7996","","hypothetical protein","1","1","1","1","6765","469","1","","467","467","467","","KBJLFPIH_01570","","","","","","",""
"group_7997","","hypothetical protein","1","1","1","1","6764","469","2","","191","191","191","","KBJLFPIH_01571","","","","","","",""
"group_7998","","hypothetical protein","1","1","1","1","6798","1011","2","","446","446","446","","KBJLFPIH_01577","","","","","","",""
"group_7999","queG","Epoxyqueuosine reductase","1","1","1","1","6797","1011","3","","938","938","938","","KBJLFPIH_01578","","","","","","",""
"group_8","","hypothetical protein","1","1","1","1","6927","22","78","","3056","3056","3056","","","","","AMABMDDH_01235","","","",""
"group_80","","ISAs1 family transposase ISCysp2","1","1","1","1","10668","476","3","","311","311","311","ACMNIIJE_02531","","","","","","","",""
"group_8000","btuD_5","Vitamin B12 import ATP-binding protein BtuD","1","1","1","1","6796","1011","4","","767","767","767","","KBJLFPIH_01579","","","","","","",""
"group_8001","","hypothetical protein","1","1","1","1","6795","1011","1","","236","236","236","","KBJLFPIH_01580","","","","","","",""
"group_8002","tauA","Taurine-binding periplasmic protein","1","1","1","1","11341","68","3","","1013","1013","1013","","KBJLFPIH_01583","","","","","","",""
"group_8003","","hypothetical protein","1","1","1","1","11342","68","2","","377","377","377","","KBJLFPIH_01584","","","","","","",""
"group_8004","","hypothetical protein","1","1","1","1","6804","202","13","","143","143","143","","KBJLFPIH_01590","","","","","","",""
"group_8005","","hypothetical protein","1","1","1","1","6803","202","14","","140","140","140","","KBJLFPIH_01591","","","","","","",""
"group_8006","pknD_13","Serine/threonine-protein kinase PknD","1","1","1","1","6802","202","15","","5468","5468","5468","","KBJLFPIH_01592","","","","","","",""
"group_8007","cheB_2","Protein-glutamate methylesterase/protein-glutamine glutaminase","1","1","1","1","6819","202","16","","548","548","548","","KBJLFPIH_01594","","","","","","",""
"group_8008","","hypothetical protein","1","1","1","1","6823","1124","1","","329","329","329","","KBJLFPIH_01597","","","","","","",""
"group_8009","","hypothetical protein","1","1","1","1","6824","1124","2","","455","455","455","","KBJLFPIH_01598","","","","","","",""
"group_8010","","hypothetical protein","1","1","1","1","6825","1206","2","","1670","1670","1670","","KBJLFPIH_01600","","","","","","",""
"group_8011","","hypothetical protein","1","1","1","1","6828","1206","1","","1112","1112","1112","","KBJLFPIH_01601","","","","","","",""
"group_8012","","hypothetical protein","1","1","1","1","11299","955","1","","2471","2471","2471","","KBJLFPIH_01604","","","","","","",""
"group_8013","","hypothetical protein","1","1","1","1","11298","955","2","","437","437","437","","KBJLFPIH_01605","","","","","","",""
"group_8014","","hypothetical protein","1","1","1","1","11297","955","6","","338","338","338","","KBJLFPIH_01606","","","","","","",""
"group_8015","","hypothetical protein","1","1","1","1","11296","955","5","","1685","1685","1685","","KBJLFPIH_01607","","","","","","",""
"group_8016","","hypothetical protein","1","1","1","1","11295","955","4","","431","431","431","","KBJLFPIH_01608","","","","","","",""
"group_8017","","hypothetical protein","1","1","1","1","11294","955","3","","431","431","431","","KBJLFPIH_01609","","","","","","",""
"group_8018","","hypothetical protein","1","1","1","1","11291","1185","1","","794","794","794","","KBJLFPIH_01611","","","","","","",""
"group_8019","thrB","Homoserine kinase","1","1","1","1","11290","1185","2","","989","989","989","","KBJLFPIH_01612","","","","","","",""
"group_8020","","hypothetical protein","1","1","1","1","6843","886","29","","1493","1493","1493","","KBJLFPIH_01617","","","","","","",""
"group_8021","","hypothetical protein","1","1","1","1","6842","886","30","","1298","1298","1298","","KBJLFPIH_01618","","","","","","",""
"group_8022","mshA_9","D-inositol-3-phosphate glycosyltransferase","1","1","1","1","6841","886","31","","992","992","992","","KBJLFPIH_01619","","","","","","",""
"group_8023","","hypothetical protein","1","1","1","1","6840","886","32","","1082","1082","1082","","KBJLFPIH_01620","","","","","","",""
"group_8024","arnC_1","Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase","1","1","1","1","6856","886","28","","1019","1019","1019","","KBJLFPIH_01622","","","","","","",""
"group_8025","arnC_2","Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase","1","1","1","1","6855","886","27","","1022","1022","1022","","KBJLFPIH_01623","","","","","","",""
"group_8026","arnC_3","Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase","1","1","1","1","6854","886","26","","1067","1067","1067","","KBJLFPIH_01624","","","","","","",""
"group_8027","man5A","Mannan endo-1,4-beta-mannosidase","1","1","1","1","6853","886","25","","1100","1100","1100","","KBJLFPIH_01625","","","","","","",""
"group_8028","xghA_1","Xyloglucanase Xgh74A","1","1","1","1","6852","886","24","","2171","2171","2171","","KBJLFPIH_01626","","","","","","",""
"group_8029","","hypothetical protein","1","1","1","1","6851","886","23","","686","686","686","","KBJLFPIH_01627","","","","","","",""
"group_8030","","hypothetical protein","1","1","1","1","6850","886","22","","701","701","701","","KBJLFPIH_01628","","","","","","",""
"group_8031","","hypothetical protein","1","1","1","1","9847","1100","2","","500","500","500","","KBJLFPIH_01630","","","","","","",""
"group_8032","","hypothetical protein","1","1","1","1","9846","1100","3","","158","158","158","","KBJLFPIH_01631","","","","","","",""
"group_8033","","hypothetical protein","1","1","1","1","6887","1100","1","","203","203","203","","KBJLFPIH_01632","","","","","","",""
"group_8034","","hypothetical protein","1","1","1","1","6890","1391","1","","1142","1142","1142","","KBJLFPIH_01634","","","","","","",""
"group_8035","","hypothetical protein","1","1","1","1","6893","1033","3","","551","551","551","","KBJLFPIH_01637","","","","","","",""
"group_8036","COQ5_1","2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial","1","1","1","1","6892","1033","2","","1154","1154","1154","","KBJLFPIH_01638","","","","","","",""
"group_8037","","hypothetical protein","1","1","1","1","6891","1033","1","","272","272","272","","KBJLFPIH_01639","","","","","","",""
"group_8038","","hypothetical protein","1","1","1","1","6901","1005","4","","803","803","803","","KBJLFPIH_01647","","","","","","",""
"group_8039","","hypothetical protein","1","1","1","1","6900","1005","3","","1544","1544","1544","","KBJLFPIH_01648","","","","","","",""
"group_8040","","hypothetical protein","1","1","1","1","6899","1005","2","","1601","1601","1601","","KBJLFPIH_01649","","","","","","",""
"group_8041","","hypothetical protein","1","1","1","1","6898","1005","1","","1574","1574","1574","","KBJLFPIH_01650","","","","","","",""
"group_8042","fpgS","Folylpolyglutamate synthase","1","1","1","1","6902","1405","1","","1301","1301","1301","","KBJLFPIH_01652","","","","","","",""
"group_8043","","hypothetical protein","1","1","1","1","8660","1052","3","","806","806","806","","KBJLFPIH_01655","","","","","","",""
"group_8044","","hypothetical protein","1","1","1","1","8659","1052","2","","866","866","866","","KBJLFPIH_01656","","","","","","",""
"group_8045","sctC","Type 3 secretion system secretin","1","1","1","1","8658","1052","1","","2318","2318","2318","","KBJLFPIH_01657","","","","","","",""
"cobD_1","","Threonine-phosphate decarboxylase","1","1","1","1","8641","15","31","","995","995","995","","KBJLFPIH_01659","","","","","","",""
"group_8047","merA_1","Mercuric reductase","1","1","1","1","8642","15","32","","1427","1427","1427","","KBJLFPIH_01660","","","","","","",""
"group_8048","","hypothetical protein","1","1","1","1","8645","15","35","","428","428","428","","KBJLFPIH_01662","","","","","","",""
"group_8049","","hypothetical protein","1","1","1","1","8644","15","34","","164","164","164","","KBJLFPIH_01663","","","","","","",""
"group_8050","","hypothetical protein","1","1","1","1","8643","15","33","","1370","1370","1370","","KBJLFPIH_01664","","","","","","",""
"group_8051","","putative protein","1","1","1","1","6977","1359","1","","830","830","830","","KBJLFPIH_01667","","","","","","",""
"group_8052","","hypothetical protein","1","1","1","1","14687","1253","1","","2699","2699","2699","","KBJLFPIH_01671","","","","","","",""
"group_8053","","hypothetical protein","1","1","1","1","14685","72","22","","629","629","629","","KBJLFPIH_01674","","","","","","",""
"group_8054","","hypothetical protein","1","1","1","1","14684","72","23","","1274","1274","1274","","KBJLFPIH_01675","","","","","","",""
"group_8055","","hypothetical protein","1","1","1","1","14683","72","24","","590","590","590","","KBJLFPIH_01676","","","","","","",""
"group_8056","","hypothetical protein","1","1","1","1","14682","72","25","","209","209","209","","KBJLFPIH_01677","","","","","","",""
"group_8057","nfi","Endonuclease V","1","1","1","1","14681","72","26","","659","659","659","","KBJLFPIH_01678","","","","","","",""
"group_8058","","hypothetical protein","1","1","1","1","14674","72","4","","230","230","230","","KBJLFPIH_01681","","","","","","",""
"group_8059","","hypothetical protein","1","1","1","1","14673","72","3","","308","308","308","","KBJLFPIH_01682","","","","","","",""
"group_8060","","hypothetical protein","1","1","1","1","14587","1264","1","","1313","1313","1313","","KBJLFPIH_01685","","","","","","",""
"group_8061","","hypothetical protein","1","1","1","1","14651","254","1","","614","614","614","","KBJLFPIH_01687","","","","","","",""
"group_8062","sasA_15","Adaptive-response sensory-kinase SasA","1","1","1","1","14603","942","4","","2024","2024","2024","","KBJLFPIH_01691","","","","","","",""
"group_8063","","hypothetical protein","1","1","1","1","14644","921","1","","1325","1325","1325","","KBJLFPIH_01694","","","","","","",""
"group_8064","","hypothetical protein","1","1","1","1","14643","921","2","","1478","1478","1478","","KBJLFPIH_01695","","","","","","",""
"group_8065","rcsC_36","Sensor histidine kinase RcsC","1","1","1","1","14642","921","3","","2585","2585","2585","","KBJLFPIH_01696","","","","","","",""
"group_8066","cheB_3","Protein-glutamate methylesterase/protein-glutamine glutaminase","1","1","1","1","14641","921","4","","1181","1181","1181","","KBJLFPIH_01697","","","","","","",""
"group_8067","","hypothetical protein","1","1","1","1","14640","921","5","","566","566","566","","KBJLFPIH_01698","","","","","","",""
"group_8068","","hypothetical protein","1","1","1","1","14639","921","6","","494","494","494","","KBJLFPIH_01699","","","","","","",""
"group_8069","rcsC_37","Sensor histidine kinase RcsC","1","1","1","1","14638","921","7","","2840","2840","2840","","KBJLFPIH_01700","","","","","","",""
"group_8070","","hypothetical protein","1","1","1","1","14637","921","9","","3683","3683","3683","","KBJLFPIH_01701","","","","","","",""
"group_8071","","hypothetical protein","1","1","1","1","14636","921","8","","3770","3770","3770","","KBJLFPIH_01702","","","","","","",""
"group_8072","","hypothetical protein","1","1","1","1","9926","","","","143","143","143","","KBJLFPIH_01706","","","","","","",""
"group_8073","cobD_2","Cobalamin biosynthesis protein CobD","1","1","1","1","8989","1220","1","","1019","1019","1019","","KBJLFPIH_01707","","","","","","",""
